text	label1	label2	label
"@Spiro0815 Was für ein Unsinn. |LBR| Ein Staat, der Benzin an seine Bürger verschenkt, handelt nicht ""sozial"" sondern einfach nur blödsinnig dumm. |LBR| Und wie kommst DU eigentlich darauf, dass ein menschenverachtender #Sozialismus ""sozial"" sein könnte. Das genaue Gegenteil ist korrekt."	OTHER	OTHER	0
Die Souveränität eines Staates darf nicht durch ein Gericht aufgehoben werden. Außerdem |LBR| gehen Invasoren nur in Länder mit Sozialhilfe.	OFFENSE	ABUSE	1
@mountainman1977 @MartinDomig @MiataMuc Hihi. Meine Eltern essen jeden Freitag (ABEND!!!) Weißwürste.	OTHER	OTHER	0
@IslamismMap_de Glaube nicht, das sich die Sachsen das gefallen lassen <U+0001F4A3>	OTHER	OTHER	0
@KonseqLiberal @Neodeutscher Preußisches Erbe. Der einst mächtigste Staat im Deutschen Bund.	OTHER	OTHER	0
"Spannende Frage. |LBR| Ist es angesichts des koordinierten Angriffs auf die bürgerlichen #Freiheiten mittels eines erfundenen ""#Klimawandel"", berechtigt hier von einem politischen #Klimafaschismus zu sprechen? |LBR| Oder ist dieser Begriff zu sehr verharmlosend?"	OFFENSE	ABUSE	1
Freiheit und Vielfalt sind immer dann gewährleistet, wenn alle Frau_innen Kopftuch tragen und jeder dieselbe linke Meinung hat.	OFFENSE	ABUSE	1
da ist sie ja wieder die Moderatorin der @AktuelleStunde mit der alten schwarzen Schmodder Hose und den fettigen Haaren #WDR	OFFENSE	INSULT	1
#Tagesschau Ihr seit solche verlogenen Arschlöcher !!!	OFFENSE	ABUSE	1
@ingathomas @welt Die ist ein Merkel Vasall und handelt auf Anweisung von Merkel!! |LBR| Folgt den Aufruf eures Präsidenten Erdogan!	OFFENSE	INSULT	1
Wenn Trump der neue Hitler ist, |LBR| Was ist dann Clinton?? |LBR| Clinton |LBR| Der Antichrist !!!!	OFFENSE	ABUSE	1
@DLFNachrichten Andi #Scheuer vertrauen? Soweit geht nicht mal #Söder!	OFFENSE	INSULT	1
@_teatimecookie_ Einen Mann dazu zu bringen wäre, wie Euch Frauen dazu zu bringen, nicht mehr in Schaufenstern voller Schuhe zu glotzen.	OFFENSE	ABUSE	1
@AfD_Support Vedammten Autos. Je weniger destso besser , destso mehr Tiere überleben.	OTHER	OTHER	0
Immer mehr Diktatur, Unterdrückung und Beschränkung der Menschenrechte und der Meinungsfreiheit. |LBR| Das wird Deutschland 2018.	OTHER	OTHER	0
Und ehrlich gesagt sind die beiden anderen Gäste auf der Bühne viel interessanter als ich. <U+263A><U+FE0F>	OTHER	OTHER	0
@TheRiver2010 Unglaublich <U+2049><U+FE0F> Macht mich schon fast sprachlos.	OTHER	OTHER	0
Traut niemals unsern Admins! Heute ist AZ zu; SchwarzRote Kneipe zu Analyse d. #Kapitalismus erst n.Mittw., 15.6. Alle Termine: az-aachen.de	OTHER	OTHER	0
@zeitonlinesport Ich meide Stadionbesuche, wenn Stuttgart zu Gast ist, nachdem ich mal von deren grenzdebilen Auswärtsfans einen kinderliedähnlichen Endlosgesang über eine „Allee mit vielen Bäumen“ in einer 70minütigen, ununterbrochenen Dauerschleife ertragen musste.	OFFENSE	INSULT	1
@lawyerberlin Meiner Meinung nach ist Frau Merkel eine Volksverräterin.	OFFENSE	ABUSE	1
@HeikoMaas Dummes Gelaber. Was Sie für Steuerbetrug halten gilt nur |LBR| in Deutschland und in Ihrem Hirn.	OFFENSE	INSULT	1
die Moderatorin von #taff präsentiert sich täglich in meinen Augen wie eine Schlampe #ProSieben	OFFENSE	ABUSE	1
Also ein besetztes und umerzogenes Land.	OTHER	OTHER	0
@Doodoofist Das mach dir was zu essen Kamerad	OTHER	OTHER	0
@aranxo Frauenkram halt. Kicher...Laber... Kicher...Schuhe...Kicher...Oh wie süüüß...Kicher...Hosen... Kicher...	OFFENSE	ABUSE	1
@HolgerEwald1 @Westminster1000 made my day. Dummheit wurde schon immer bestraft. Die sind sogar so bekloppt das sie jetzt Teddys für Idioten werfen würden.	OFFENSE	INSULT	1
@atklauner @satirianexe @spdde Die @SPDEckernfoerde macht soetwas und die @SPDBordesholm glaube ich auch. Sprecht die doch mal an, was die da machen.	OTHER	OTHER	0
